anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2020;Provincia;Río Negro;UPRI;3.30;0.10
2020;Provincia;Salta;UPRI;30.30;0.70
2020;Provincia;San Juan;UPRI;10.90;0.30
2020;Provincia;San Luis;UPRI;2.70;0.10
2020;Provincia;Santa Cruz;UPRI;0.00;0.00
2020;Provincia;Santa Fe;UPRI;70.10;1.60
2020;Provincia;Santiago del Estero;UPRI;0.00;0.00
2020;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPRI;0.70;0.00
2020;Provincia;Tucumán;UPRI;33.30;0.80
2020;Provincia;Buenos Aires;OCT;21173.50;486.00
2020;Provincia;Catamarca;OCT;249.90;5.70
2020;Provincia;Chaco;OCT;438.90;10.10
2020;Provincia;Chubut;OCT;1296.20;29.80
2020;Provincia;C.A.B.A.;OCT;11789.80;270.60
2020;Provincia;Córdoba;OCT;3841.50;88.20
2020;Provincia;Corrientes;OCT;650.60;14.90
2020;Provincia;Entre Ríos;OCT;615.00;14.10
2020;Provincia;Formosa;OCT;187.50;4.30
2020;Provincia;Jujuy;OCT;414.70;9.50
2020;Provincia;La Pampa;OCT;381.50;8.80
2020;Provincia;La Rioja;OCT;222.50;5.10
2020;Provincia;Mendoza;OCT;1703.30;39.10
2020;Provincia;Misiones;OCT;553.50;12.70
2020;Provincia;Neuquén;OCT;489.40;11.20
2020;Provincia;Río Negro;OCT;2333.30;53.60
2020;Provincia;Salta;OCT;665.30;15.30
2020;Provincia;San Juan;OCT;697.00;16.00
2020;Provincia;San Luis;OCT;370.10;8.50
2020;Provincia;Santa Cruz;OCT;193.00;4.40
2020;Provincia;Santa Fe;OCT;2751.90;63.20
2020;Provincia;Santiago del Estero;OCT;319.90;7.30
2020;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;OCT;271.30;6.20
2020;Provincia;Tucumán;OCT;1710.90;39.30
2020;Provincia;Buenos Aires;Empresa;16732.40;384.10
2020;Provincia;Catamarca;Empresa;14.00;0.30
2020;Provincia;Chaco;Empresa;209.00;4.80
2020;Provincia;Chubut;Empresa;188.40;4.30
2020;Provincia;C.A.B.A.;Empresa;25161.30;577.60
2020;Provincia;Córdoba;Empresa;6663.10;152.90
2020;Provincia;Corrientes;Empresa;100.90;2.30
2020;Provincia;Entre Ríos;Empresa;478.20;11.00
2020;Provincia;Formosa;Empresa;246.40;5.70
2020;Provincia;Jujuy;Empresa;42.00;1.00
2020;Provincia;La Pampa;Empresa;37.60;0.90
2020;Provincia;La Rioja;Empresa;141.40;3.20
2020;Provincia;Mendoza;Empresa;875.50;20.10
2020;Provincia;Misiones;Empresa;70.70;1.60
2020;Provincia;Neuquén;Empresa;111.80;2.60
2020;Provincia;Río Negro;Empresa;898.20;20.60
2020;Provincia;Salta;Empresa;229.50;5.30
2020;Provincia;San Juan;Empresa;115.80;2.70
2020;Provincia;San Luis;Empresa;617.90;14.20
2020;Provincia;Santa Cruz;Empresa;17.60;0.40
2020;Provincia;Santa Fe;Empresa;4242.00;97.40
2020;Provincia;Santiago del Estero;Empresa;107.40;2.50
2020;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;Empresa;88.90;2.00
2020;Provincia;Tucumán;Empresa;1099.60;25.20
2021;Provincia;Buenos Aires;ESFL;149.10;2.20
2021;Provincia;Catamarca;ESFL;0.00;0.00
2021;Provincia;Chaco;ESFL;10.20;0.20
2021;Provincia;Chubut;ESFL;43.20;0.60
2021;Provincia;C.A.B.A.;ESFL;2944.50;43.90
2021;Provincia;Córdoba;ESFL;72.60;1.10
2021;Provincia;Corrientes;ESFL;6.10;0.10
2021;Provincia;Entre Ríos;ESFL;0.80;0.00
2021;Provincia;Formosa;ESFL;13.10;0.20
2021;Provincia;Jujuy;ESFL;0.00;0.00
2021;Provincia;La Pampa;ESFL;0.00;0.00
2021;Provincia;La Rioja;ESFL;0.00;0.00
2021;Provincia;Mendoza;ESFL;42.80;0.60
2021;Provincia;Misiones;ESFL;11.90;0.20
2021;Provincia;Neuquén;ESFL;88.20;1.30
2021;Provincia;Río Negro;ESFL;105.70;1.60
2021;Provincia;Salta;ESFL;39.50;0.60
2021;Provincia;San Juan;ESFL;0.80;0.00
2021;Provincia;San Luis;ESFL;0.00;0.00
2021;Provincia;Santa Cruz;ESFL;2.30;0.00
2021;Provincia;Santa Fe;ESFL;28.90;0.40
2021;Provincia;Santiago del Estero;ESFL;35.70;0.50
2021;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;ESFL;0.00;0.00
2021;Provincia;Tucumán;ESFL;0.00;0.00
2021;Provincia;Buenos Aires;UPUB;14414.20;215.10
2021;Provincia;Catamarca;UPUB;222.20;3.30
2021;Provincia;Chaco;UPUB;476.10;7.10
2021;Provincia;Chubut;UPUB;304.50;4.50
2021;Provincia;C.A.B.A.;UPUB;12119.60;180.90
2021;Provincia;Córdoba;UPUB;3869.70;57.80
2021;Provincia;Corrientes;UPUB;564.00;8.40
2021;Provincia;Entre Ríos;UPUB;684.60;10.20
2021;Provincia;Formosa;UPUB;244.60;3.70
2021;Provincia;Jujuy;UPUB;1005.10;15.00
2021;Provincia;La Pampa;UPUB;423.50;6.30
2021;Provincia;La Rioja;UPUB;609.20;9.10
2021;Provincia;Mendoza;UPUB;945.40;14.10
2021;Provincia;Misiones;UPUB;726.70;10.80
2021;Provincia;Neuquén;UPUB;351.30;5.20
2021;Provincia;Río Negro;UPUB;700.50;10.50
2021;Provincia;Salta;UPUB;354.10;5.30
2021;Provincia;San Juan;UPUB;1071.60;16.00
2021;Provincia;San Luis;UPUB;2074.90;31.00
2021;Provincia;Santa Cruz;UPUB;410.20;6.10
2021;Provincia;Santa Fe;UPUB;4844.10;72.30
2021;Provincia;Santiago del Estero;UPUB;366.90;5.50
2021;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPUB;211.00;3.10
2021;Provincia;Tucumán;UPUB;2040.70;30.50
2021;Provincia;Buenos Aires;UPRI;304.70;4.50
2021;Provincia;Catamarca;UPRI;0.00;0.00
2021;Provincia;Chaco;UPRI;3.50;0.10
2021;Provincia;Chubut;UPRI;0.00;0.00
2021;Provincia;C.A.B.A.;UPRI;1808.20;27.00
2021;Provincia;Córdoba;UPRI;213.30;3.20
2021;Provincia;Corrientes;UPRI;20.90;0.30
2021;Provincia;Entre Ríos;UPRI;43.90;0.70
2021;Provincia;Formosa;UPRI;0.40;0.00
2021;Provincia;Jujuy;UPRI;7.00;0.10
2021;Provincia;La Pampa;UPRI;0.00;0.00
2021;Provincia;La Rioja;UPRI;4.40;0.10
2021;Provincia;Mendoza;UPRI;124.50;1.90
2021;Provincia;Misiones;UPRI;41.60;0.60
2021;Provincia;Neuquén;UPRI;0.40;0.00
2021;Provincia;Río Negro;UPRI;6.30;0.10
2021;Provincia;Salta;UPRI;67.50;1.00
2021;Provincia;San Juan;UPRI;22.70;0.30
2021;Provincia;San Luis;UPRI;2.00;0.00
2021;Provincia;Santa Cruz;UPRI;0.00;0.00
2021;Provincia;Santa Fe;UPRI;175.20;2.60
2021;Provincia;Santiago del Estero;UPRI;15.50;0.20
2021;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPRI;2.60;0.00
2021;Provincia;Tucumán;UPRI;38.10;0.60
2021;Provincia;Buenos Aires;OCT;39141.50;584.20
2021;Provincia;Catamarca;OCT;414.10;6.20
2021;Provincia;Chaco;OCT;667.00;10.00
2021;Provincia;Chubut;OCT;2208.00;33.00
2021;Provincia;C.A.B.A.;OCT;18734.20;279.60
2021;Provincia;Córdoba;OCT;6378.80;95.20
2021;Provincia;Corrientes;OCT;967.30;14.40
2021;Provincia;Entre Ríos;OCT;1029.60;15.40
2021;Provincia;Formosa;OCT;277.20;4.10
2021;Provincia;Jujuy;OCT;681.40;10.20
2021;Provincia;La Pampa;OCT;682.60;10.20
2021;Provincia;La Rioja;OCT;345.40;5.20
2021;Provincia;Mendoza;OCT;2625.10;39.20
2021;Provincia;Misiones;OCT;915.00;13.70
2021;Provincia;Neuquén;OCT;955.30;14.30
2021;Provincia;Río Negro;OCT;4065.30;60.70
2021;Provincia;Salta;OCT;1097.70;16.40
2021;Provincia;San Juan;OCT;1077.60;16.10
2021;Provincia;San Luis;OCT;587.90;8.80
2021;Provincia;Santa Cruz;OCT;357.40;5.30
