anio;nivel_agregacion;unidad_territorial;tipo_personal_sicytar;es_conicet;sexo_descripcion;gran_area_experticia;cant_personas
2019;Provincia;Chaco;BECARIO DE I+D;0;FEMENINO;HUMANIDADES;17
2019;Provincia;Chaco;BECARIO DE I+D;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;4
2019;Provincia;Chaco;BECARIO DE I+D;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;1
2019;Provincia;Chaco;BECARIO DE I+D;0;MASCULINO;CIENCIAS SOCIALES;6
2019;Provincia;Chaco;BECARIO DE I+D;0;MASCULINO;HUMANIDADES;8
2019;Provincia;Chaco;BECARIO DE I+D;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;4
2019;Provincia;Chaco;BECARIO DE I+D;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;8
2019;Provincia;Chaco;BECARIO DE I+D;1;FEMENINO;CIENCIAS SOCIALES;15
2019;Provincia;Chaco;BECARIO DE I+D;1;FEMENINO;HUMANIDADES;8
2019;Provincia;Chaco;BECARIO DE I+D;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;5
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;CIENCIAS AGRÍCOLAS;2
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;1
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;4
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;CIENCIAS SOCIALES;10
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;HUMANIDADES;1
2019;Provincia;Chaco;BECARIO DE I+D;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;4
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;CIENCIAS AGRÍCOLAS;8
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;17
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;50
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;CIENCIAS SOCIALES;147
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;HUMANIDADES;83
2019;Provincia;Chaco;DOCENTE;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;39
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;CIENCIAS AGRÍCOLAS;8
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;8
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;32
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;CIENCIAS SOCIALES;70
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;HUMANIDADES;48
2019;Provincia;Chaco;DOCENTE;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;60
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;CIENCIAS AGRÍCOLAS;8
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;17
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;40
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;CIENCIAS SOCIALES;70
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;HUMANIDADES;36
2019;Provincia;Chaco;INVESTIGADOR;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;32
